ID,题型,模块,知识点,题干,A,B,C,D,E,答案,解析
1,单选,RAG 基础与系统架构,RAG 概念,关于 RAG（Retrieval-Augmented Generation，检索增强生成），下列说法最准确的是哪一项？,RAG 是一种只依赖模型参数记忆回答问题的方法,RAG 是先检索外部资料，再让 LLM 基于检索上下文生成答案的方法,RAG 的核心目标是完全替代向量数据库,RAG 必须通过微调模型才能实现,,B,RAG 的关键思想是把外部知识检索与 LLM 生成结合起来。系统先从文档、数据库或知识库中找出相关材料，再把这些材料作为上下文交给模型生成答案，从而降低幻觉、提高事实可追溯性，并支持私有知识库问答。
2,单选,RAG 基础与系统架构,RAG Agent 概念,RAG Agent 与普通 RAG 系统最重要的区别是什么？,RAG Agent 不需要使用任何外部文档,RAG Agent 只能回答单轮问题,RAG Agent 可以根据任务动态决定是否检索、调用工具、追问用户或维护状态,RAG Agent 的唯一功能是把 PDF 转换为向量,,C,普通 RAG 多是固定流程：检索—生成。RAG Agent 更像一个任务执行系统，可以进行规划、工具调用、状态管理、追问和拒答，因此更适合复杂、多轮、需要外部工具的任务。
3,单选,RAG 基础与系统架构,RAG 系统组件,下列哪一组最能代表完整 RAG Agent 系统的核心组成？,Prompt、Excel、浏览器、显卡驱动,LLM 推理接口、文档处理、嵌入模型、向量数据库、检索器、状态管理、护栏、前端和评估模块,数据库、电子邮件和图像生成器,只需要一个大语言模型和一个聊天框,,B,完整 RAG Agent 不是单一模型，而是由推理、检索、嵌入、文档处理、状态、工具、护栏、前端和评估等模块组成的系统工程。
4,单选,LLM 推理接口与微服务,LLM 推理接口输入输出,LLM 推理接口通常不适合被理解为哪一种形式？,接收系统提示、用户问题、上下文和工具结果的服务接口,只能输入一个纯字符串、不能带任何上下文的黑盒函数,可以返回自然语言、结构化 JSON 或工具调用参数的组件,可被封装、复用、监控和部署的推理服务节点,,B,真实 LLM 应用中的推理接口往往接收多种输入，包括系统提示、对话历史、文档上下文和工具结果，也可以输出结构化内容。把它理解成只能接收一个字符串的黑盒，会限制系统设计。
5,单选,LLM 推理接口与微服务,本地、远程与混合部署,如果系统需要处理私有文档，并且对数据合规和内网访问要求很高，通常更适合优先考虑哪种部署方式？,只使用公开网页搜索,完全不部署模型，只保存 Prompt,本地部署或企业私有云/混合部署,把所有数据发送到不受控的第三方接口,,C,私有数据场景下，数据可控性和合规性非常重要。本地部署、私有云或混合部署可以更好地控制数据流向，而不是把敏感材料发送到不可控环境。
6,单选,LLM 推理接口与微服务,微服务化思想,RAG 系统采用微服务化设计的主要价值是什么？,让所有逻辑都写进一个 Prompt 中，方便复制,避免任何日志和监控,保证模型永远不会出错,把前端、检索、生成、评估等模块拆分，便于扩展、升级和故障定位,,D,微服务化强调模块职责清晰和独立扩展。RAG 系统中，前端、API、检索、向量库、LLM、评估和日志最好分层设计，便于维护和上线。
7,单选,LangChain / LCEL / Gradio / LangServe,LangChain 作用,LangChain 在 LLM 应用开发中的主要作用是什么？,训练一个全新的基础大模型,提供 Prompt 管理、链式编排、文档处理、检索器、Agent 和结构化输出等应用开发能力,替代所有向量数据库,专门用于 GPU 驱动安装,,B,LangChain 不是大模型本身，而是围绕 LLM 构建应用的框架层。它帮助开发者组织 Prompt、模型调用、工具、检索、记忆和输出解析。
8,单选,LangChain / LCEL / Gradio / LangServe,LCEL 链式表达,在 LCEL 中，`prompt | llm | output_parser` 最准确地表示什么？,把三个文件压缩成一个文件,用 Prompt 替代 LLM 的计算,将 Prompt、模型调用和输出解析器按管道方式组合成可运行链条,把向量数据库转换成网页,,C,LCEL 允许像管道一样组合多个可运行组件。输入先经过 Prompt 模板，再传给 LLM，最后由解析器把输出变成字符串、JSON 或其他结构。
9,单选,LangChain / LCEL / Gradio / LangServe,内部推理与外部推理,下列哪一项属于 RAG Agent 中的“外部推理”？,调用数据库或向量检索系统查找资料,模型在脑中判断用户意图,模型把问题改写成更清楚的问句,模型判断是否需要拒答,,A,外部推理依赖系统外部资源，例如数据库、API、文件系统或向量库。意图判断、问题改写、拒答判断更多属于模型内部推理或控制逻辑。
10,单选,LangChain / LCEL / Gradio / LangServe,Gradio 前端,Gradio 在课程项目中的典型作用是什么？,作为向量数据库存储所有文档,快速构建聊天或表单式交互前端，用于演示和测试 LLM 链条,替代所有后端服务,训练嵌入模型,,B,Gradio 适合快速构建机器学习和 LLM 应用前端，方便教学演示、内部工具原型和输入输出可视化。
11,单选,LangChain / LCEL / Gradio / LangServe,LangServe API 化,LangServe 的核心用途是什么？,只用于美化网页按钮,专门清洗 PDF 页眉页脚,将 LangChain 链条部署为可通过 HTTP 调用的 API 服务,把多选题转换为单选题,,C,LangServe 可以将 LangChain Chain 暴露为 API，使前端、脚本或其他系统能够通过 HTTP 调用同一个链条，从而从 Notebook 原型走向服务化集成。
12,单选,对话状态与知识提取,对话状态,为什么 RAG Agent 需要维护对话状态？,为了让系统忘记用户之前说过的信息,为了记录用户身份、偏好、任务目标、已收集字段和对话上下文，支持多轮任务连续性,为了禁止使用任何外部工具,为了使每次回答完全随机,,B,对话状态让系统能够记住用户前面提供的信息，例如身份、研究方向、任务要求和缺失字段。没有状态，多轮对话会失去连续性。
13,单选,对话状态与知识提取,槽位填充,槽位填充最适合用来解决哪类问题？,随机生成无关文本,压缩图片大小,把所有文档直接放入 Prompt,从用户输入中提取并补全任务所需的结构化字段,,D,槽位填充用于逐步收集任务所需信息，例如日期、时间、对象、领域、输出格式等。系统可以识别已提供字段，并对缺失字段进行追问。
14,单选,对话状态与知识提取,知识提取与 JSON,将“这篇论文研究小胶质细胞在阿尔茨海默病中的作用，使用单细胞测序和小鼠模型”转换为 disease、cell_type、methods 等字段，属于什么任务？,知识提取或结构化信息抽取,图像分割,模型量化,向量数据库压缩,,A,该任务是从自然语言中抽取结构化信息，例如疾病、细胞类型、实验方法等，并可保存为 JSON 或数据库字段，便于后续检索和分析。
15,单选,对话状态与知识提取,对话管理流程,一个合理的对话管理流程通常应包括哪种顺序？,先生成最终答案，再识别用户意图,用户输入 → 意图识别 → 槽位抽取 → 状态更新 → 判断是否追问或调用工具 → 生成回答,只保存最后一句话，不处理状态,先删除历史，再进行检索,,B,对话管理需要先理解用户输入，再抽取字段并更新状态；如果信息不足则追问，如果信息足够则调用检索、工具或生成模块。
16,单选,长篇文档处理,长文档限制,为什么不建议把超长论文或手册直接全部塞进 Prompt？,因为 LLM 不能处理任何文本,因为所有文档都必须先翻译成英文,因为上下文窗口、成本、延迟、关键信息淹没和引用困难等问题会影响效果,因为 RAG 系统不允许使用 PDF,,C,长文档直接输入会受到上下文窗口限制，也会增加成本和延迟。即使模型能接收很长文本，关键信息也可能被淹没，回答和引用都会变得不稳定。
17,单选,长篇文档处理,文档处理流程,典型的文档入库前处理流程是哪一项？,生成答案 → 删除文档 → 构建向量库,读取解析 → 文本清洗 → 分块 → 添加元数据 → 生成嵌入 → 存入向量库,先向量化用户问题，再读取文档,只保留文件名，不保存正文,,B,RAG 文档处理通常先读取和清洗文本，再进行切分、添加来源信息和页码等元数据，然后生成嵌入并写入向量数据库。
18,单选,长篇文档处理,文档分块策略,关于文档分块，下列说法最合理的是哪一项？,分块越小越好，最好每个块只有一个字,分块越大越好，最好整本书一个块,应根据文档结构、语义边界和 token 长度选择合适 chunk size，并可设置 overlap,分块时必须删除所有标题和页码元数据,,C,好的分块需要兼顾语义完整性和检索精度。常见做法是按段落、标题层级或固定长度切分，并设置一定重叠以减少上下文断裂。
19,单选,长篇文档处理,摘要与重构,对于特别长的文档，“分块摘要 → 汇总摘要”的策略主要解决什么问题？,让模型完全不需要读取文档,把所有文档变成图片,消除所有评估需求,在上下文有限的情况下逐步压缩和整合长文档信息,,D,分块摘要先对每个片段生成局部摘要，再综合为总摘要，适合处理超出上下文窗口的长篇论文、报告或手册。
20,单选,长篇文档处理,while-loop 增量处理,while-loop 或循环式文档处理的核心思想是什么？,每次只处理部分文档，并不断更新中间摘要或状态,让程序无限循环且不输出结果,完全跳过文档读取阶段,只适用于图像分类任务,,A,循环式处理适合超长文档。系统可以逐块读取文本，并把上一轮摘要或状态与新块结合，逐步形成完整摘要或结构化信息。
21,单选,嵌入、语义相似性与护栏,嵌入定义,文本嵌入（Embedding）最准确的含义是什么？,把文本转换为图片,把文本转换为向量表示，使语义相近文本在向量空间中更接近,把数据库删除后重新生成,把模型参数全部导出为表格,,B,嵌入模型将文本编码为数字向量。语义相似的句子通常在向量空间中距离更近，因此可用于语义检索、聚类、相似性比较和护栏判断。
22,单选,嵌入、语义相似性与护栏,编码器与解码器,在典型 RAG 系统中，嵌入模型和生成模型的角色分别更接近哪一组？,嵌入模型负责写作，生成模型负责向量检索,两者完全相同，没有分工,嵌入模型负责将文本编码为向量以检索，生成模型负责根据上下文生成答案,二者都只用于图像识别,,C,嵌入模型通常像编码器，用于语义表示和检索；生成模型通常像解码器，用于根据 Prompt 和上下文生成自然语言回答。
23,单选,嵌入、语义相似性与护栏,相似性计算,余弦相似度主要用于衡量什么？,两个文件的大小是否相同,两个向量方向是否接近，从而估计语义相似性,模型显存占用是否稳定,网页颜色是否一致,,B,余弦相似度衡量两个向量方向的接近程度。在文本向量检索中，它常用于判断用户问题与文档片段的语义相关性。
24,单选,嵌入、语义相似性与护栏,语义护栏,语义护栏的主要目标是什么？,强制模型回答所有问题,只按关键词屏蔽，不考虑语义,删除所有用户输入,判断输入或输出是否在允许范围内，并对不合适请求进行拒答或安全引导,,D,护栏系统用于控制模型行为边界。它可以基于意图分类、语义相似性或规则判断问题是否适合回答，并在必要时礼貌拒绝。
25,单选,向量存储与文档检索,向量数据库作用,向量数据库在 RAG 系统中的核心作用是什么？,替代所有 LLM 生成能力,只负责保存用户密码,存储文本向量和元数据，并支持快速语义相似性检索,把网页转换成幻灯片,,C,当文档规模变大时，需要向量数据库高效存储和检索文本向量，同时保留来源、页码、章节等元数据，帮助 RAG 找到相关证据。
26,单选,向量存储与文档检索,文档入库与元数据,为什么 RAG 文档块需要保存 metadata（元数据）？,只是为了增加文件体积,为了记录来源、标题、章节、页码、年份等信息，支持过滤、引用和追溯,为了让模型无法读取正文,为了替代嵌入模型,,B,元数据决定答案能否追溯到具体来源，也支持按年份、章节、作者或文档类型过滤检索。没有元数据，RAG 很难做到可靠引用。
27,单选,向量存储与文档检索,检索策略,MMR 检索相比普通 Top-k 检索的主要优势是什么？,只能返回完全重复的片段,完全不考虑相关性,在相关性和多样性之间取得平衡，减少高度重复结果,只能用于图片检索,,C,Top-k 可能返回多个非常相似甚至重复的片段。MMR 会兼顾相关性和多样性，使检索结果覆盖更多角度。
28,单选,向量存储与文档检索,RAG Prompt 与拒绝编造,设计 RAG Prompt 时，哪一条最重要？,明确要求模型只基于给定上下文回答；上下文无答案时说明无法确定,鼓励模型在没有证据时大胆猜测,不要提供任何文档上下文,让模型忽略用户问题,,A,RAG 的核心是基于证据回答。Prompt 应要求模型遵循上下文，缺少证据时不要编造，而应明确说明无法从材料确定。
29,单选,向量存储与文档检索,多轮对话问题改写,在多轮对话中，用户问“它的主要局限是什么？”，为什么通常要先做问题改写？,为了删除用户问题,因为“它”依赖前文，需要改写成包含明确对象的独立检索问题,因为向量库只能处理英文,因为所有问题都必须改成 JSON,,B,多轮追问常含代词、省略和上下文依赖。问题改写能把当前问题与对话历史结合，形成独立、清楚的检索查询，从而提高检索准确性。
30,单选,RAG 评估与项目实践,RAG 评估必要性,为什么 RAG 系统必须进行评估？,因为评估可以让模型不需要文档,因为只要回答流畅就一定正确,因为评估能完全替代人工判断,因为系统可能检索错误、引用不匹配、生成幻觉或在无答案问题上编造,,D,RAG 系统看起来能回答并不代表可靠。需要评估检索是否找到正确证据、生成是否忠实于证据、无答案时是否拒绝编造，以及多轮对话是否稳定。
31,单选,RAG 评估与项目实践,检索评估指标,Recall@k 主要衡量什么？,模型回答是否优美,Prompt 字数是否足够多,正确或相关文档是否出现在前 k 个检索结果中,显卡温度是否正常,,C,Recall@k 关注正确证据有没有被检索进前 k 个结果。对于 RAG 来说，如果关键证据没有被检索到，后续生成再好也很难正确。
32,单选,RAG 评估与项目实践,生成评估维度,下列哪一项属于 RAG 生成答案的核心评估维度？,准确性、忠实性、完整性、简洁性、可追溯性和安全性,按钮颜色、网页字体和图片尺寸,显存容量和机箱尺寸,用户电脑品牌,,A,生成评估不仅看答案是否流畅，还要看是否符合文档事实、是否只基于材料、是否覆盖问题关键点、是否能追溯来源，以及是否安全。
33,单选,RAG 评估与项目实践,LLM 作为评估器,使用 LLM 作为评估器时，哪种做法最合理？,完全相信 LLM 评估，永不人工抽查,只让评估器输出一段随意评论,设计明确标准和结构化输出，并结合人工抽查或规则指标,让被评估模型自己给自己满分,,C,LLM 可以辅助判断忠实性、完整性和相关性，但评估器本身也可能出错。最好使用结构化评分标准，并结合人工抽查和规则指标。
34,单选,RAG 评估与项目实践,评估集设计,一个较完整的 RAG 评估集应该包含什么类型的问题？,只包含系统已经知道答案的问题,只包含问候语,只包含非常短的关键词,事实型、综合型、比较型、无答案、多轮追问、边界问题和格式要求问题,,D,评估集应覆盖真实使用场景。无答案问题测试拒答能力，多轮追问测试状态和问题改写，格式问题测试结构化输出，事实和综合问题测试检索与生成。
35,单选,RAG 评估与项目实践,贯穿项目与 MVP,基于研究论文库的 RAG 聊天机器人，最小可行版本通常至少需要哪些能力？,只需要一个漂亮图标,文档加载、分块、向量入库、问题向量化、Top-k 检索、基于上下文生成答案和前端交互,只需要人工复制粘贴答案,只需要一个计时器,,B,MVP 不需要一次性具备所有高级功能，但必须完成从文档处理、向量检索到基于上下文回答和用户交互的闭环。
36,单选,常见问题与排错,常见问题与排错,如果 RAG 系统检索结果经常不相关，首先不应采取哪种做法？,立即要求模型在没有证据时大胆编造答案,检查文档分块大小和 overlap,检查嵌入模型是否适合领域,考虑查询改写、MMR 或混合检索,,A,检索不相关应从分块、嵌入、检索策略、查询改写和过滤条件入手。鼓励模型编造只会扩大错误，不是排错方法。
37,多选,RAG 基础与系统架构,RAG 概念,下列哪些说法符合 RAG 的基本思想？,先从外部知识库中检索相关材料,把检索到的材料作为上下文交给 LLM,有助于回答私有文档或最新资料相关问题,可以降低完全依赖模型参数记忆带来的幻觉风险,RAG 的前提是必须重新训练基础模型,A B C D,RAG 的典型流程是检索、组装上下文、生成回答。它通常不要求重新训练基础模型；很多 RAG 系统通过外部知识库、检索器和 Prompt 即可工作。
