Front,Back,English Full Name,Chinese Full Name,Meaning,Category,Note
AI,英文全称：Artificial Intelligence<br>中文全称：人工智能<br>含义：让计算机系统执行感知、推理、生成、决策等智能任务的技术总称。<br>类别：课程与 AI 基础<br>备注：严格缩写,Artificial Intelligence,人工智能,让计算机系统执行感知、推理、生成、决策等智能任务的技术总称。,课程与 AI 基础,严格缩写
DLI,英文全称：Deep Learning Institute<br>中文全称：深度学习学院 / 深度学习培训机构<br>含义：NVIDIA 的官方培训体系，课程来自 NVIDIA DLI。<br>类别：课程与 AI 基础<br>备注：严格缩写,Deep Learning Institute,深度学习学院 / 深度学习培训机构,NVIDIA 的官方培训体系，课程来自 NVIDIA DLI。,课程与 AI 基础,严格缩写
BAAMM,英文全称：Building AI Agents with Multimodal Models<br>中文全称：使用多模态模型构建 AI 智能体<br>含义：本课程标题的缩写式代号，指用多模态模型构建 AI Agent 的课程主题。<br>类别：课程与 AI 基础<br>备注：课程缩写,Building AI Agents with Multimodal Models,使用多模态模型构建 AI 智能体,本课程标题的缩写式代号，指用多模态模型构建 AI Agent 的课程主题。,课程与 AI 基础,课程缩写
ML,英文全称：Machine Learning<br>中文全称：机器学习<br>含义：AI 的重要分支，让模型从数据中学习规律并进行预测、分类或生成。<br>类别：课程与 AI 基础<br>备注：严格缩写,Machine Learning,机器学习,AI 的重要分支，让模型从数据中学习规律并进行预测、分类或生成。,课程与 AI 基础,严格缩写
DL,英文全称：Deep Learning<br>中文全称：深度学习<br>含义：基于深层神经网络的机器学习方法，是现代多模态模型的重要基础。<br>类别：课程与 AI 基础<br>备注：严格缩写,Deep Learning,深度学习,基于深层神经网络的机器学习方法，是现代多模态模型的重要基础。,课程与 AI 基础,严格缩写
NN,英文全称：Neural Network<br>中文全称：神经网络<br>含义：由多层可训练参数组成的模型结构，用于表示、分类、生成或预测。<br>类别：课程与 AI 基础<br>备注：严格缩写,Neural Network,神经网络,由多层可训练参数组成的模型结构，用于表示、分类、生成或预测。,课程与 AI 基础,严格缩写
API,英文全称：Application Programming Interface<br>中文全称：应用程序编程接口<br>含义：程序之间相互调用服务的接口，例如调用 OCR、LLM、VLM 或 NIM 服务。<br>类别：课程与 AI 基础<br>备注：严格缩写,Application Programming Interface,应用程序编程接口,程序之间相互调用服务的接口，例如调用 OCR、LLM、VLM 或 NIM 服务。,课程与 AI 基础,严格缩写
UI,英文全称：User Interface<br>中文全称：用户界面<br>含义：用户与系统交互的界面，例如视频问答系统或刷题系统的网页界面。<br>类别：课程与 AI 基础<br>备注：严格缩写,User Interface,用户界面,用户与系统交互的界面，例如视频问答系统或刷题系统的网页界面。,课程与 AI 基础,严格缩写
Q&A / QA,英文全称：Question and Answering / Question Answering<br>中文全称：问答<br>含义：系统根据文本、图像、视频或检索结果回答用户问题。本讲义中 QA 主要指问答，而不是 Quality Assurance。<br>类别：课程与 AI 基础<br>备注：常见缩写,Question and Answering / Question Answering,问答,系统根据文本、图像、视频或检索结果回答用户问题。本讲义中 QA 主要指问答，而不是 Quality Assurance。,课程与 AI 基础,常见缩写
LiDAR,英文全称：Light Detection and Ranging<br>中文全称：激光雷达<br>含义：通过激光测距获得三维空间信息，常与相机数据融合，用于自动驾驶、机器人和空间感知。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Light Detection and Ranging,激光雷达,通过激光测距获得三维空间信息，常与相机数据融合，用于自动驾驶、机器人和空间感知。,多模态、视觉与传感器,严格缩写
2D,英文全称：Two-Dimensional<br>中文全称：二维<br>含义：平面数据或二维坐标，例如图像中的像素位置。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Two-Dimensional,二维,平面数据或二维坐标，例如图像中的像素位置。,多模态、视觉与传感器,严格缩写
3D,英文全称：Three-Dimensional<br>中文全称：三维<br>含义：三维空间数据，例如点云、物体三维位置和深度信息。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Three-Dimensional,三维,三维空间数据，例如点云、物体三维位置和深度信息。,多模态、视觉与传感器,严格缩写
BEV,英文全称：Bird’s-Eye View<br>中文全称：鸟瞰图 / 俯视图<br>含义：从上往下观察场景的统一空间表示，常用于自动驾驶和多传感器融合。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Bird’s-Eye View,鸟瞰图 / 俯视图,从上往下观察场景的统一空间表示，常用于自动驾驶和多传感器融合。,多模态、视觉与传感器,严格缩写
BEVFusion,英文全称：Bird’s-Eye-View Fusion<br>中文全称：鸟瞰图融合<br>含义：把相机、LiDAR 等模态统一到 BEV 空间后再进行融合的多模态感知方法或模型名称。<br>类别：多模态、视觉与传感器<br>备注：模型/方法名,Bird’s-Eye-View Fusion,鸟瞰图融合,把相机、LiDAR 等模态统一到 BEV 空间后再进行融合的多模态感知方法或模型名称。,多模态、视觉与传感器,模型/方法名
CV,英文全称：Computer Vision<br>中文全称：计算机视觉<br>含义：让机器理解图像、视频和视觉场景的技术领域。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Computer Vision,计算机视觉,让机器理解图像、视频和视觉场景的技术领域。,多模态、视觉与传感器,严格缩写
VLM,英文全称：Vision-Language Model / Visual Language Model<br>中文全称：视觉语言模型<br>含义：能同时处理图像/视频和文本的模型，可用于看图问答、视频理解和文档理解。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Vision-Language Model / Visual Language Model,视觉语言模型,能同时处理图像/视频和文本的模型，可用于看图问答、视频理解和文档理解。,多模态、视觉与传感器,严格缩写
LLM,英文全称：Large Language Model<br>中文全称：大语言模型<br>含义：以文本理解、推理和生成为核心能力的大规模语言模型。<br>类别：多模态、视觉与传感器<br>备注：严格缩写,Large Language Model,大语言模型,以文本理解、推理和生成为核心能力的大规模语言模型。,多模态、视觉与传感器,严格缩写
