id,module,term,english,chinese,explain
"C001","总览","LLM","Large Language Model","大语言模型","一种基于大规模文本和代码数据训练的神经网络模型，能够理解、生成和转换自然语言。课程中的所有数据筛选、评估、定制与部署优化，都是围绕如何让 LLM 更适合特定任务展开。"
"C002","总览","Knowledge Enhancement for LLMs","Adding Knowledge to Large Language Models","大语言模型知识增强与模型定制","指通过数据准备、持续预训练、监督微调、偏好优化、检索增强或部署优化等方法，让通用模型更好地掌握特定领域知识、技能或行为风格。"
"C003","总览","End-to-End Workflow","End-to-End Large Language Model Customization Workflow","端到端 LLM 定制工作流","从原始数据收集与清洗开始，经过数据合成、评估、CPT/SFT/DPO 等模型定制，再到量化、剪枝、蒸馏和部署优化的完整流程。"
"C004","总览","Domain Knowledge","Domain-Specific Knowledge","领域知识","某个行业、学科或企业内部特有的事实、术语、流程和规范。通用 LLM 往往缺少最新或私有领域知识，因此需要通过数据和训练策略补充。"
"C005","总览","Customization","Model Customization","模型定制","根据具体应用需求调整模型能力的过程，包括知识注入、技能学习、风格调整、安全对齐和推理效率优化。"
"C006","总览","Model Lifecycle","Large Language Model Development Lifecycle","大语言模型开发生命周期","覆盖数据准备、训练/微调、评估、部署、监控与迭代更新的周期。数据质量和评估体系贯穿整个生命周期。"
"C007","总览","Baseline Model","Baseline Model","基线模型","在定制或优化前作为对照的原始模型。通过与基线比较，可以判断 CPT、SFT、DPO 或部署优化是否真正带来收益。"
"C008","总览","Target Behavior","Target Model Behavior","目标模型行为","希望模型在实际应用中表现出的回答风格、准确性、安全边界和任务执行方式。DPO 等方法常用于使模型行为更接近目标偏好。"
"C009","数据筛选与合成数据","NeMo Curator","NVIDIA NeMo Curator","NeMo 数据筛选与治理工具","用于构建高质量大规模文本数据集的工具链，常见任务包括清洗、过滤、去重、质量打分和隐私信息处理。"
"C010","数据筛选与合成数据","Data Curation","Data Curation","数据筛选/数据治理","对原始数据进行选择、清洗、过滤、去重、标注和组织，使其达到训练或评估模型所需质量标准的过程。"
"C011","数据筛选与合成数据","Data Quality","Data Quality","数据质量","衡量数据是否准确、干净、相关、多样、合规且适合训练目标。高质量数据通常比单纯增加数据规模更能提升模型定制效果。"
"C012","数据筛选与合成数据","Text Cleaning","Text Cleaning","文本清洗","去除乱码、重复符号、HTML 残留、异常换行、模板噪声和无意义内容，使文本更适合模型学习。"
"C013","数据筛选与合成数据","Filtering","Data Filtering","数据过滤","根据质量、主题、语言、长度、安全性或合规规则筛掉不适合训练的数据，减少低质样本对模型的负面影响。"
