ID,Category,Front_Term,English_Full_Name,Chinese_Full_Name,Chinese_Explanation
AAI-001,基础概念,AAI,Agentic AI,智能体式人工智能,一种围绕目标自主规划、调用工具、观察结果并迭代完成任务的 AI 系统范式，强调“行动能力”和“流程闭环”，而不只是一次性生成文本。
AAI-002,基础概念,NCP-AAI,NVIDIA-Certified Professional: Agentic AI,NVIDIA 认证专业级：智能体式 AI,NVIDIA 面向智能体式 AI 解决方案设计、开发、部署、监控和治理能力的专业级认证考试。
AAI-003,基础概念,AI Agent,Artificial Intelligence Agent,人工智能智能体,能够感知环境、理解目标、选择行动、调用工具并根据反馈调整下一步行为的软件实体。
AAI-004,基础概念,LLM,Large Language Model,大语言模型,基于大规模文本和多模态数据训练的基础模型，是智能体理解语言、生成计划、调用工具和组织答案的核心推理组件。
AAI-005,基础概念,Foundation Model,Foundation Model,基础模型,经过大规模预训练、可通过提示、微调或工具增强适配多种任务的通用模型。
AAI-006,基础概念,Goal,Goal,目标,智能体试图完成的最终任务或业务结果，例如生成报告、完成审批、检索证据或执行工作流。
AAI-007,基础概念,Environment,Environment,环境,智能体可以观察并采取行动的外部系统，包括网页、文件、数据库、API、企业应用和用户交互界面。
AAI-008,基础概念,Action,Action,行动,智能体为了推进任务而执行的步骤，例如调用搜索工具、读取文件、写入数据库或请求人工确认。
AAI-009,基础概念,Observation,Observation,观察结果,工具调用、环境变化或用户反馈返回给智能体的信息，用于决定后续推理和行动。
AAI-010,基础概念,State,State,状态,任务执行过程中需要保存的上下文，包括当前目标、已完成步骤、工具结果、错误信息和用户选择。
AAI-011,基础概念,Autonomy,Autonomy,自主性,智能体在给定边界内自主拆解任务、选择工具、执行步骤和调整计划的能力。
AAI-012,基础概念,Policy,Policy,策略/规则,约束智能体行为的规则集合，例如工具调用权限、安全边界、输出格式和人工审批条件。
AAI-013,架构与设计,Agent Architecture,Agent Architecture,智能体架构,智能体系统的组件组织方式，通常包括 LLM、工具、记忆、规划器、执行器、状态管理、监控和安全护栏。
AAI-014,架构与设计,Planner,Planner,规划器,负责把复杂目标拆成可执行步骤，并根据中间结果决定下一步行动的组件。
