id,term,english,chinese,explain,module
1,LLM,Large Language Model,大语言模型,能够理解和生成自然语言的深度学习模型，是 RAG 智能体中负责理解问题、组织上下文和生成答案的核心组件。,RAG 基础
2,RAG,Retrieval-Augmented Generation,检索增强生成,先从外部知识库检索相关材料，再把检索结果作为上下文交给 LLM 生成答案的方法，可降低幻觉并增强答案可追溯性。,RAG 基础
3,Agent,Intelligent Agent,智能体,能够根据目标进行判断、规划、调用工具、维护状态并完成任务的软件系统。在 LLM 应用中，Agent 通常围绕模型和工具进行任务编排。,RAG 基础
4,RAG Agent,Retrieval-Augmented Generation Agent,检索增强生成智能体,比固定流程 RAG 更灵活，能够动态决定是否检索、调用工具、追问用户、维护对话状态或拒绝回答。,RAG 基础
5,Retrieval,Retrieval,检索,根据用户问题从文档库、数据库或向量库中找出相关信息的过程，是 RAG 系统中决定证据质量的关键步骤。,RAG 基础
6,Generation,Generation,生成,LLM 根据 Prompt、用户问题和检索上下文生成自然语言或结构化输出的过程。,RAG 基础
7,Knowledge Base,Knowledge Base,知识库,用于存放外部知识的集合，可以是论文、手册、网页、数据库、内部文档或它们切分后的文本块。,RAG 基础
8,External Knowledge,External Knowledge,外部知识,不直接存储在模型参数中的信息，例如私有文档、最新资料、论文库或企业数据库。RAG 通过检索外部知识增强回答。,RAG 基础
9,Prompt,Prompt,提示词,提供给 LLM 的任务指令、角色设定、上下文和输出要求。好的 Prompt 能约束模型基于证据回答并按指定格式输出。,RAG 基础
10,Prompt Template,Prompt Template,提示词模板,包含变量占位符的 Prompt 结构，例如 {question} 和 {context}，便于在不同输入下复用同一任务指令。,LangChain 编排
11,System Prompt,System Prompt,系统提示词,用于定义模型角色、行为边界和总体规则的高优先级指令，常用于要求模型严谨、拒绝编造或遵守输出格式。,RAG 基础
12,Context,Context,上下文,提供给模型参考的信息，包括对话历史、检索到的文档片段、工具结果和任务说明。RAG 的答案质量高度依赖上下文质量。,RAG 基础
13,Token,Token,词元 / 令牌,模型处理文本的基本单位，可以是词、字、子词或符号。上下文长度、成本和延迟通常都与 token 数相关。,长文档处理
14,Context Window,Context Window,上下文窗口,模型一次推理能够接收和处理的最大 token 范围。长文档处理、分块和摘要策略都与上下文窗口限制有关。,长文档处理
15,Hallucination,Hallucination,幻觉,模型生成看似合理但没有事实依据或与资料不一致的内容。RAG、引用、护栏和评估都可用于降低幻觉风险。,评估与项目
16,Grounding,Grounding,基于证据 / 语境锚定,要求模型回答与给定文档、检索片段或工具结果保持一致，而不是凭空生成。RAG Prompt 通常会强调 grounding。,评估与项目
