id,type,module,difficulty,knowledge_points,stem,A,B,C,D,E,answer,analysis
Q001,single,课程总览与端到端工作流,基础,end_to_end_workflow;course_goal,《为大语言模型添加知识》课程的核心目标最准确的是哪一项？,只学习如何写提示词，让通用 LLM 回答更长,从原始数据出发，完成数据策展、评估、定制、优化与实践评估的端到端模型定制流程,只学习如何部署 RAG 系统，不涉及模型训练或对齐,主要学习传统机器学习分类器的调参方法,,B,课程大纲明确把主线设计为从原始数据出发，经过 NeMo Curator 数据筛选与合成数据生成、模型评估、CPT/SFT/DPO 定制，再到量化、剪枝、蒸馏等部署优化，最后通过实践评估收尾。因此 B 最完整。A 只涉及提示工程，C 只涉及 RAG，D 与课程主题不符。
Q002,single,课程总览与端到端工作流,基础,cloud_lab_prereq;course_format,关于该课程的学习环境和预备知识，下列说法最符合课程大纲的是哪一项？,无需任何编程基础，只需会使用浏览器,需要熟悉 Python 与 Jupyter notebook，并了解 LLM、深度学习和神经网络基本概念,必须提前在本地安装所有 NVIDIA GPU 驱动和 NeMo 源码,课程完全离线进行，不使用云端实验环境,,B,大纲列出的预备知识包括 Python 编程、Jupyter notebook、LLM 及其应用、深度学习与神经网络基本概念；同时课程模式是讲师授课并使用完全配置的云端实验环境。B 正确。A 低估了先修要求；C 并非课程要求；D 与云端实验环境相矛盾。
Q003,single,课程总览与端到端工作流,基础,course_goal;domain_knowledge_injection,为什么企业场景下常需要“为 LLM 添加知识”？,因为通用 LLM 通常完全没有语言生成能力,因为通用 LLM 的知识可能缺少企业所需的特定、最新或专业信息,因为所有企业问题都只能通过剪枝解决,因为 LLM 只能处理英文，不能处理中文,,B,课程概述指出，LLM 功能强大，但其知识通常是通用的，可能缺乏企业应用所需的特定、最新或专业信息，因此需要增强和定制。B 正确。A、C、D 都是过度化或错误表述。
Q004,single,课程总览与端到端工作流,基础,final_practical_assessment;nemo_rl,课程最终实践评估的代表性任务是什么？,使用 DPO 将 Llama 3.1 8B 调整为特定对话风格，并展示偏好数据准备、NeMo-RL 对齐和最终评估能力,只手写一份关于深度学习历史的论文,训练一个传统线性回归模型预测房价,只比较两个网页搜索引擎的结果数量,,A,大纲的“评估测试和总结”说明，学员将在实践编程任务中使用 DPO 将 Llama 3.1 8B 模型调整为特定对话风格，并展示准备偏好数据集、使用 NeMo-RL 运行对齐任务、评估最终模型的能力。A 正确。
Q005,multiple,课程总览与端到端工作流,基础,end_to_end_workflow;course_goal,按照课程大纲，端到端模型定制工作流通常包含哪些环节？,数据筛选与合成数据生成,模型评估与实验跟踪,CPT、SFT、DPO 等模型定制方法,量化、剪枝、知识蒸馏等部署优化,完全跳过评估，直接上线模型,ABCD,课程主线是数据→评估→定制→部署优化→实践评估。A、B、C、D 都是大纲列出的核心环节。E 错误，课程反复强调严格评估与实践评测。
Q006,multiple,课程总览与端到端工作流,基础,cloud_lab_prereq;course_format,关于课程模式，下列哪些说法正确？,课程为讲师授课,每位学员使用完全配置的云端实验环境进行实战练习,课后一定时间内可以继续访问课件和实验，但实验资源有限额,课程不需要任何浏览器或网络环境,课程语言为中文,ABCE,大纲说明课程时长 8 小时，讲师授课，学员使用云端实验环境，课后 6 个月内可继续访问课件和实验且资源用量有限，课程语言为中文。D 错在课程硬件要求明确需要可联网电脑和最新版 Chrome/Firefox。
Q007,multiple,课程总览与端到端工作流,进阶,course_goal;end_to_end_workflow,判断一个模型定制项目是否符合本课程精神，通常应关注哪些交付物？,清晰的问题定义与成功标准,可审计的数据处理流程,定制方法选择理由，例如为何使用 CPT、SFT 或 DPO,上线前后的评估与失败样例分析,只展示一个成功回答截图即可,ABCD,课程强调真实世界问题的端到端工作流。一个合格项目不仅要能跑，还要能说明问题、数据、方法、评估和部署取舍。E 只展示成功截图，无法证明模型稳健性和可复现性。
Q008,multiple,课程总览与端到端工作流,基础,course_goal;toolchain,课程大纲中明确涉及或使用的工具、库和框架包括哪些？,Python,NVIDIA NeMo,NVIDIA TensorRT-LLM,Docker 与 MLflow,仅限 Microsoft Excel 宏,ABCD,大纲列出的工具、库和框架包括 Python、NVIDIA NeMo、NVIDIA TensorRT-LLM、Docker、MLflow。E 不属于大纲中的工具链。
Q009,single,数据筛选与合成数据生成,基础,nemo_curator;data_quality,NeMo Curator 在课程中的主要作用是什么？,构建大规模高质量数据集并支持数据筛选与合成数据生成,只负责网页前端界面美化,只用于模型推理加速，不处理数据,只用于生成考试证书,,A,课程的数据单元明确要求使用 NVIDIA NeMo Curator 构建大规模高质量数据集，并执行文本清洗、过滤、PII 去除和合成问答对生成。A 正确。
Q010,single,数据筛选与合成数据生成,基础,text_cleaning_filtering;data_quality,在数据筛选阶段，文本清洗和过滤的主要目的是什么？,尽量保留所有噪声，增加训练难度,减少乱码、广告、无关文本、低质量样本等噪声，提高训练数据质量,把所有数据都转换为图片,完全替代模型评估环节,,B,文本清洗和过滤的目标是把原始材料整理成更干净、更可训练、更可审计的数据，减少低质量和无关内容对模型的负面影响。B 正确。A 反向错误；C 与任务无关；D 错在数据处理不能替代评估。
Q011,single,数据筛选与合成数据生成,基础,pii_removal;data_quality,PII 去除在 LLM 数据管线中的主要价值是什么？,提升训练数据隐私合规性，降低泄露个人敏感信息的风险,让模型必须输出更长的回答,自动把所有无标注文本变成偏好数据,保证模型永远不会出现幻觉,,A,PII 指个人可识别信息。训练数据中若包含姓名、电话、邮箱、地址等敏感信息，可能带来隐私和合规风险。PII 去除的价值是降低这种风险。B、C、D 都不是 PII 去除的目标。
Q012,single,数据筛选与合成数据生成,进阶,synthetic_qa;sft_dataset,课程中生成高质量问答对数据的直接用途主要是什么？,用于构建稳健的 SFT 数据集,用于删除 TensorRT-LLM,用于跳过所有人工抽样检查,只用于生成网页标题,,A,大纲明确写到生成高质量的问答对数据，用于构建稳健的 SFT 数据集。A 正确。生成合成数据并不意味着可以跳过质量检查，C 错。
Q013,multiple,数据筛选与合成数据生成,基础,text_cleaning_filtering;pii_removal,下列哪些属于课程中强调的关键数据筛选任务？,文本清洗,过滤低质量样本,PII 去除,生成高质量问答对,把评估结果全部隐藏,ABCD,大纲明确列出文本清洗、过滤、PII 去除以及生成高质量问答对。E 与课程强调的可评估、可跟踪原则相反。
Q014,multiple,数据筛选与合成数据生成,进阶,synthetic_qa;data_quality,关于合成数据，下列哪些说法更合理？,合成问答对可以扩展 SFT 数据覆盖范围,合成数据仍需抽样检查和质量控制,合成数据可以帮助覆盖原始数据中不足的任务形式,合成数据天然全部正确，无需评估,合成数据质量会影响下游微调效果,ABCE,合成数据有助于扩展任务覆盖和构建 SFT 样本，但它不是天然正确的，仍需要质量检查、去重、事实性和格式检查。D 错误。
Q015,multiple,数据筛选与合成数据生成,进阶,nemo_curator;sft_dataset,从原始客服日志构建 SFT 数据集时，合理流程包括哪些步骤？,先清洗无关噪声和格式问题,去除或脱敏个人敏感信息,把日志改写成明确的输入—输出样本,完全保留所有重复样本以增加权重,对生成样本进行抽样复核,ABCE,原始日志通常存在噪声、隐私、冗余和表达不规范等问题。合理流程是清洗、脱敏、去重/过滤、转换为输入—输出样本并抽检。D 错在重复样本可能导致浪费预算、过拟合或偏置放大。
Q016,multiple,数据筛选与合成数据生成,基础,data_quality;end_to_end_workflow,为什么数据质量被视为 LLM 开发生命周期的重要环节？,低质量数据可能让模型学习错误模式,重复和噪声数据会浪费训练资源,隐私信息进入训练集可能带来合规风险,高质量数据有助于后续评估、SFT 和 DPO 更可靠,只要模型足够大，数据质量完全不重要,ABCD,数据质量直接影响训练效果、隐私合规、资源效率和后续评估/定制质量。E 是常见误区：大模型并不能自动抵消低质量数据带来的系统性问题。
