id,term,english,chinese,module,difficulty,explain
C001,RAG,Retrieval-Augmented Generation,检索增强生成,RAG 基础,基础,先检索外部证据，再让大语言模型基于证据生成答案，用于降低知识过期和幻觉。
C002,Semantic Search,Semantic Search,语义搜索,RAG 基础,基础,根据语义相似度而不是单纯词面匹配进行搜索，常用 embedding 和向量检索实现。
C003,Keyword Search,Keyword Search,关键词搜索,RAG 基础,中级,基于词面、词频和关键词匹配的检索方式，适合编号、代码、机构名、术语等精确查询。
C004,Hybrid Search,Hybrid Search,混合搜索,RAG 基础,基础,结合关键词搜索、向量搜索和元数据过滤，兼顾精确匹配与语义召回。
C005,LLM,Large Language Model,大语言模型,RAG 基础,基础,能够理解和生成自然语言的模型，在 RAG 中通常负责基于上下文生成最终回答。
C006,Embedding,Embedding,嵌入向量,RAG 基础,中级,将文本转换为数值向量的表示方式，语义相近的文本在向量空间中通常距离更近。
C007,Vector Database,Vector Database,向量数据库,RAG 基础,基础,用于存储和相似度检索向量的数据库，是语义搜索和 RAG 检索层的重要基础设施。
C008,Knowledge Base,Knowledge Base,知识库,RAG 基础,基础,RAG 连接的外部知识来源，如企业制度、论文、FAQ、技术文档、数据库或网页。
C009,Ground Truth,Ground Truth,标准答案 / 真实标签,RAG 基础,中级,用于判断系统输出是否正确的人工标注答案、权威答案或参考依据。
C010,Query,Query,查询 / 用户问题,RAG 基础,基础,用户输入给系统的问题或搜索请求，是检索、生成和评估的起点。
C011,Retriever,Retriever,检索器,RAG 管道架构,基础,负责从知识库中召回候选文档或片段，决定系统是否能获得正确证据。
C012,Reranker,Reranker,重排序器,RAG 管道架构,中级,对初步召回结果进行精排，把更相关的证据排到前面。
C013,Chunk,Chunk,文本块 / 文档切片,RAG 管道架构,基础,长文档切分后的检索单位，大小和边界会影响检索与生成质量。
C014,Chunking,Chunking,文档切分,RAG 管道架构,基础,把长文档拆成可检索片段的过程，应尽量保留语义完整性和标题层级。
C015,Context Builder,Context Builder,上下文构造器,RAG 管道架构,高级,将检索结果去重、排序、压缩并放入 prompt，决定 LLM 实际看到的证据。
C016,Query Rewriting,Query Rewriting,查询改写,RAG 管道架构,基础,将用户问题改写为更适合检索的表达，如补全术语、扩展同义词或拆分多跳问题。
C017,Metadata,Metadata,元数据,RAG 管道架构,基础,描述文档或 chunk 的附加信息，如版本、时间、权限、部门、作者和来源。
C018,Top-K,Top-K Retrieval Results,前 K 个检索结果,RAG 管道架构,中级,检索系统排序后返回的前 K 个候选结果，是 Recall@K 和 Precision@K 的基础。
C019,Context Window,Context Window,上下文窗口,RAG 管道架构,基础,LLM 单次输入可容纳的 token 范围，限制了可放入 prompt 的证据数量。
C020,Prompt Template,Prompt Template,提示词模板,RAG 管道架构,基础,组织系统规则、用户问题、检索上下文和输出格式的固定模板。
C021,Evaluation Dataset,Evaluation Dataset,评估数据集,评估数据集,中级,用于测试系统质量的样本集合，通常包含问题、标准答案、相关文档和评分标签。
C022,Gold Dataset,Gold Dataset,金标准数据集,评估数据集,基础,由领域专家人工标注和审核的高质量评估集，适合上线判断和校准 Judge。
C023,Silver Dataset,Silver Dataset,银标准数据集,评估数据集,基础,由模型辅助生成并经抽查的数据集，规模较大，适合日常回归测试。
C024,Synthetic Test Set,Synthetic Test Set,合成测试集,评估数据集,中级,由 LLM 或程序自动生成的测试题集，需人工抽查和质量控制。
C025,Required Facts,Required Facts,必要事实,评估数据集,基础,标准答案中必须出现的关键事实、条件或步骤，用于评估答案完整性。
C026,Forbidden Claims,Forbidden Claims,禁止错误表述,评估数据集,基础,答案中不应出现的错误断言，用于发现幻觉和高风险错误。
C027,Negative Query,Negative Query,无答案 / 负样本查询,评估数据集,中级,知识库中没有答案或系统不应回答的问题，用于测试拒答和澄清能力。
C028,Hard Case,Hard Case,难例,评估数据集,基础,容易暴露系统缺陷的样本，如旧版本干扰、相似文档干扰和多条件问题。
C029,Query Type,Query Type,查询类型,评估数据集,基础,对问题的分类，如事实、流程、对比、时间敏感、多跳、无答案和安全查询。
C030,Risk Level,Risk Level,风险等级,评估数据集,高级,问题或错误可能造成影响的严重程度，用于决定审核强度和上线门槛。
C031,Recall@K,Recall at K,前 K 召回率,检索评估指标,基础,衡量前 K 个结果中召回了多少相关文档，关注正确证据是否被找出。
C032,Precision@K,Precision at K,前 K 精确率,检索评估指标,基础,衡量前 K 个结果中有多少真正相关，关注检索噪音比例。
C033,MRR,Mean Reciprocal Rank,平均倒数排名,检索评估指标,中级,衡量第一个相关结果出现的位置，正确结果越靠前分数越高。
C034,nDCG@K,Normalized Discounted Cumulative Gain at K,归一化折损累计增益,检索评估指标,基础,同时考虑相关性等级和排序位置的检索指标。
C035,Hit Rate@K,Hit Rate at K,前 K 命中率,检索评估指标,基础,判断 top-k 中是否至少包含一个相关结果，适合单证据问答。
C036,MAP,Mean Average Precision,平均精确率均值,检索评估指标,中级,对多个查询的平均精确率再求均值，适合多相关文档检索任务。
C037,Relevance Grade,Relevance Grade,相关性等级,检索评估指标,基础,将文档标注为完全相关、部分相关、弱相关或不相关。
C038,Retrieval Miss,Retrieval Miss,检索漏召回,检索评估指标,基础,正确文档没有被召回，常见原因是 embedding、索引、query 改写或过滤策略问题。
C039,Low Rank,Low Ranking of Relevant Document,相关文档排序过低,检索评估指标,中级,正确文档被召回但排名靠后，未进入上下文，常需重排序器改善。
C040,Retrieval Noise,Retrieval Noise,检索噪音,检索评估指标,基础,检索结果中大量不相关内容，会干扰生成并增加幻觉风险。
C041,BM25,Best Matching 25,BM25 关键词排序算法,检索优化,基础,经典关键词检索算法，适合精确术语、编号、错误代码和专有名词。
C042,ANN,Approximate Nearest Neighbor,近似最近邻搜索,检索优化,中级,在大规模向量集合中高效寻找相似向量的方法。
C043,Chunk Size,Chunk Size,文本块大小,检索优化,基础,每个 chunk 的长度。太小会语义不完整，太大会引入噪音和成本。
C044,Chunk Overlap,Chunk Overlap,文本块重叠,检索优化,基础,相邻文本块之间重复保留的内容，可降低关键上下文被切断的风险。
C045,Metadata Filter,Metadata Filter,元数据过滤,检索优化,高级,根据版本、时间、权限、部门、地区等元数据过滤候选结果。
C046,Query Expansion,Query Expansion,查询扩展,检索优化,基础,给原查询增加同义词、缩写、相关术语或翻译，提高召回率但可能增加噪音。
C047,Multi-hop Retrieval,Multi-hop Retrieval,多跳检索,检索优化,基础,需要跨多个文档或多个步骤才能获得答案的检索方式。
C048,Candidate Pool,Candidate Pool,候选结果池,检索优化,中级,初步检索得到的一批候选文档，通常再交给 reranker 精排。
C049,Context Packing,Context Packing,上下文打包,检索优化,基础,按重要性和 token 预算把检索片段组织进 prompt 的过程。
C050,Deduplication,Deduplication,去重,检索优化,基础,去除重复或高度相似片段，以降低噪音并节省上下文窗口。
C051,Faithfulness,Faithfulness,忠实性,生成评估,中级,答案是否完全由检索上下文支持，是识别无依据生成的重要指标。
C052,Groundedness,Groundedness,证据扎根性 / 有据性,生成评估,基础,答案是否扎根于给定证据，强调每个关键结论都应可由上下文支持。
C053,Correctness,Correctness,正确性,生成评估,基础,答案在事实、逻辑和参考答案层面是否正确。
C054,Completeness,Completeness,完整性,生成评估,中级,答案是否覆盖所有必要事实、条件、限制和步骤。
C055,Relevance,Relevance,相关性,生成评估,基础,答案是否直接回应用户问题，而不是回答相近但不同的问题。
C056,Conciseness,Conciseness,简洁性,生成评估,基础,答案是否避免无关和冗长内容，但不能牺牲正确性与完整性。
C057,Citation Quality,Citation Quality,引用质量,生成评估,中级,引用是否真实、准确，并能支持对应结论。
C058,Hallucination,Hallucination,幻觉,生成评估,基础,模型生成上下文中不存在或无法支持的信息，是 RAG 的高风险错误。
C059,Unsupported Claim,Unsupported Claim,无证据断言,生成评估,基础,模型输出当前上下文无法支持的断言，即使看似合理也应判为问题。
C060,Missing Constraint,Missing Constraint,遗漏限制条件,生成评估,高级,答案遗漏时间、地点、权限、员工类型、适用范围或审批条件等关键限制。
C061,Overgeneralization,Overgeneralization,过度泛化,生成评估,基础,把局部规则或特定条件推广为普遍结论。
C062,Refusal Accuracy,Refusal Accuracy,拒答准确性,生成评估,基础,系统在无依据、越权或不安全问题上正确拒答，同时不误拒可回答问题。
C063,LLM-as-a-Judge,Large Language Model as a Judge,大语言模型作为评审者,LLM-as-a-Judge,中级,用一个 LLM 按 rubric 对另一个系统输出打分或分类，适合开放式复杂答案评估。
C064,Judge LLM,Judge Large Language Model,评审大语言模型,LLM-as-a-Judge,基础,承担评估角色的模型，应稳定、可复现，并用人工标注结果校准。
C065,Rubric,Rubric,评分细则 / 评价量规,LLM-as-a-Judge,基础,定义评价维度、分数范围和判分标准，是自动评估可靠性的核心。
C066,Structured Output,Structured Output,结构化输出,LLM-as-a-Judge,中级,要求模型按 JSON 或固定 schema 输出，便于程序解析、统计和回归测试。
C067,Judge Calibration,Judge Calibration,评审模型校准,LLM-as-a-Judge,基础,用人工评分对 Judge 输出进行对齐，分析分歧并改进 prompt 和 rubric。
C068,Inter-rater Agreement,Inter-rater Agreement,评分者一致性,LLM-as-a-Judge,基础,衡量多个评估者判断是否一致，可用于检验 Judge 与人工的对齐程度。
C069,Cohen’s Kappa,Cohen’s Kappa,科恩 κ 一致性系数,LLM-as-a-Judge,中级,衡量两个评分者分类一致性并校正随机一致性的统计指标。
C070,Fluency Bias,Fluency Bias,流畅性偏差,LLM-as-a-Judge,基础,Judge 因答案语言流畅而高估质量的倾向，应强调证据和事实优先。
C071,Position Bias,Position Bias,位置偏差,LLM-as-a-Judge,基础,比较答案时偏好先出现或后出现答案的倾向，可通过随机交换顺序缓解。
C072,NaN Score,Not-a-Number Score,不可解析分数 / 空分数,LLM-as-a-Judge,中级,Judge 输出格式不符合要求导致无法解析，严格结构化输出可减少该问题。
C073,Domain-specific Evaluation,Domain-specific Evaluation,领域特定评估,领域化评估,基础,针对行业或学科特点设计的评估方法，关注术语、证据标准和合规边界。
C074,Domain Rubric,Domain Rubric,领域评分细则,领域化评估,基础,根据医学、法律、金融、科研或企业制度特点制定的专门评分标准。
C075,Terminology Accuracy,Terminology Accuracy,术语准确性,领域化评估,高级,评估系统是否正确使用专业术语、缩写和概念边界。
C076,Scope of Applicability,Scope of Applicability,适用范围,领域化评估,基础,规则或结论适用的人群、地区、时间、部门或条件。
C077,Causality vs Correlation,Causality versus Correlation,因果性与相关性区分,领域化评估,基础,科研评估中不能把相关性证据直接表述为因果证明。
C078,Evidence Standard,Evidence Standard,证据标准,领域化评估,中级,某领域支持结论所需的证据强度，如指南、实验设计、统计结果或法规依据。
C079,Expert Review,Expert Review,专家审核,领域化评估,基础,由领域专家审核关键样本、评分规则或高风险输出。
C080,High-stakes Domain,High-stakes Domain,高风险领域,领域化评估,基础,错误可能造成严重后果的领域，如医疗、法律、金融、隐私和企业合规。
C081,Temporal Evaluation,Temporal Evaluation,时间信息评估,时间与版本评估,中级,检查系统是否正确处理当前日期、生效日期、废止日期和版本变化。
C082,valid_from,Valid From,生效起始日期,时间与版本评估,基础,文档或规则开始生效的日期，是时间感知检索的重要元数据。
C083,valid_to,Valid To,生效截止日期 / 废止日期,时间与版本评估,基础,文档或规则结束有效的日期，用于避免使用过期内容。
C084,Outdated Document,Outdated Document,过期文档,时间与版本评估,中级,已被替代或失效的文档，不应作为当前答案的主要依据。
C085,Version Conflict,Version Conflict,版本冲突,时间与版本评估,基础,多个版本文档内容不一致时，需要根据时间、版本号和权威来源解决冲突。
C086,Temporal Filter,Temporal Filter,时间过滤器,时间与版本评估,基础,根据当前日期或问题中的时间条件过滤文档的机制。
C087,Relative Time Expression,Relative Time Expression,相对时间表达,时间与版本评估,中级,如今天、今年、上季度等依赖当前日期解释的表达。
C088,Temporal Drift,Temporal Drift,时间漂移,时间与版本评估,基础,随着时间推移，答案或评估样本过期，需要更新测试集和标准答案。
C089,Access Control,Access Control,访问控制,安全与合规评估,基础,根据用户身份和权限决定可访问哪些文档和答案。
C090,ACL,Access Control List,访问控制列表,安全与合规评估,高级,记录资源访问权限的列表，可用于检索阶段过滤无权文档。
C091,PII,Personally Identifiable Information,个人身份识别信息,安全与合规评估,基础,能够识别个人身份的信息，如身份证号、电话、住址、邮箱和工资信息。
C092,Prompt Injection,Prompt Injection,提示词注入,安全与合规评估,基础,通过用户输入或文档内容诱导模型忽略规则、泄露提示词或执行恶意指令。
C093,Data Leakage,Data Leakage,数据泄露,安全与合规评估,中级,系统向无权限用户输出敏感、隐私或机密信息。
C094,Safe Refusal,Safe Refusal,安全拒答,安全与合规评估,基础,对越权、违法、不安全或无依据请求进行礼貌拒绝。
C095,Compliance Evaluation,Compliance Evaluation,合规评估,安全与合规评估,基础,检查输出是否符合企业政策、法规、行业规范和安全要求。
