Front	Back	Tags
AAI	<b>英文全称：</b> Agentic AI<br><b>中文全称：</b> 智能体式人工智能<br><b>中文解释：</b> 一种围绕目标自主规划、调用工具、观察结果并迭代完成任务的 AI 系统范式，强调“行动能力”和“流程闭环”，而不只是一次性生成文本。	AAI::基础概念
NCP-AAI	<b>英文全称：</b> NVIDIA-Certified Professional: Agentic AI<br><b>中文全称：</b> NVIDIA 认证专业级：智能体式 AI<br><b>中文解释：</b> NVIDIA 面向智能体式 AI 解决方案设计、开发、部署、监控和治理能力的专业级认证考试。	AAI::基础概念
AI Agent	<b>英文全称：</b> Artificial Intelligence Agent<br><b>中文全称：</b> 人工智能智能体<br><b>中文解释：</b> 能够感知环境、理解目标、选择行动、调用工具并根据反馈调整下一步行为的软件实体。	AAI::基础概念
LLM	<b>英文全称：</b> Large Language Model<br><b>中文全称：</b> 大语言模型<br><b>中文解释：</b> 基于大规模文本和多模态数据训练的基础模型，是智能体理解语言、生成计划、调用工具和组织答案的核心推理组件。	AAI::基础概念
Foundation Model	<b>英文全称：</b> Foundation Model<br><b>中文全称：</b> 基础模型<br><b>中文解释：</b> 经过大规模预训练、可通过提示、微调或工具增强适配多种任务的通用模型。	AAI::基础概念
Goal	<b>英文全称：</b> Goal<br><b>中文全称：</b> 目标<br><b>中文解释：</b> 智能体试图完成的最终任务或业务结果，例如生成报告、完成审批、检索证据或执行工作流。	AAI::基础概念
Environment	<b>英文全称：</b> Environment<br><b>中文全称：</b> 环境<br><b>中文解释：</b> 智能体可以观察并采取行动的外部系统，包括网页、文件、数据库、API、企业应用和用户交互界面。	AAI::基础概念
Action	<b>英文全称：</b> Action<br><b>中文全称：</b> 行动<br><b>中文解释：</b> 智能体为了推进任务而执行的步骤，例如调用搜索工具、读取文件、写入数据库或请求人工确认。	AAI::基础概念
Observation	<b>英文全称：</b> Observation<br><b>中文全称：</b> 观察结果<br><b>中文解释：</b> 工具调用、环境变化或用户反馈返回给智能体的信息，用于决定后续推理和行动。	AAI::基础概念
State	<b>英文全称：</b> State<br><b>中文全称：</b> 状态<br><b>中文解释：</b> 任务执行过程中需要保存的上下文，包括当前目标、已完成步骤、工具结果、错误信息和用户选择。	AAI::基础概念
Autonomy	<b>英文全称：</b> Autonomy<br><b>中文全称：</b> 自主性<br><b>中文解释：</b> 智能体在给定边界内自主拆解任务、选择工具、执行步骤和调整计划的能力。	AAI::基础概念
Policy	<b>英文全称：</b> Policy<br><b>中文全称：</b> 策略/规则<br><b>中文解释：</b> 约束智能体行为的规则集合，例如工具调用权限、安全边界、输出格式和人工审批条件。	AAI::基础概念
Agent Architecture	<b>英文全称：</b> Agent Architecture<br><b>中文全称：</b> 智能体架构<br><b>中文解释：</b> 智能体系统的组件组织方式，通常包括 LLM、工具、记忆、规划器、执行器、状态管理、监控和安全护栏。	AAI::架构与设计
Planner	<b>英文全称：</b> Planner<br><b>中文全称：</b> 规划器<br><b>中文解释：</b> 负责把复杂目标拆成可执行步骤，并根据中间结果决定下一步行动的组件。	AAI::架构与设计
Executor	<b>英文全称：</b> Executor<br><b>中文全称：</b> 执行器<br><b>中文解释：</b> 根据规划结果调用工具、执行动作、处理返回值并更新任务状态的组件。	AAI::架构与设计
Orchestration	<b>英文全称：</b> Orchestration<br><b>中文全称：</b> 编排<br><b>中文解释：</b> 对多步骤任务、工具调用、多智能体协作和状态流转进行组织与控制，使系统能稳定完成复杂工作流。	AAI::架构与设计
